Target_genes	TFDP1|Average	SRX1726514|MM.1S	SRX1726517|U-266	STRING
POLR3C	453.500000	713	194	0
ODC1	453.500000	618	289	0
RAB6A	453.000000	695	211	0
UMPS	452.500000	641	264	0
STT3B	452.500000	695	210	0
HNRNPLL	452.500000	553	352	0
HACD3	452.500000	493	412	0
RSPH3	452.000000	558	346	0
TSGA10	451.500000	696	207	0
PPIF	451.500000	621	282	0
NUTF2	451.500000	794	109	0
MFSD13A	451.500000	798	105	0
DROSHA	451.500000	683	220	0
CENPT	451.500000	794	109	0
C5orf22	451.500000	683	220	0
C2orf15	451.500000	696	207	0
VPS35L	451.000000	627	275	0
SP1	451.000000	744	158	0
SAR1A	451.000000	600	302	0
CD2BP2	451.000000	902	0	0
CCDC107	450.500000	767	134	0
AARS2	450.500000	384	517	0
ZNF430	450.000000	422	478	0
YTHDC2	450.000000	681	219	0
SEPSECS	450.000000	738	162	0
SCAI	450.000000	738	162	0
HECA	450.000000	739	161	0
PLOD2	449.500000	748	151	0
PREB	449.000000	705	193	0
HDAC6	449.000000	746	152	0
TENT5C	448.500000	804	93	0
ZNF564	448.000000	657	239	0
ICA1L	447.500000	513	382	0
FANCC	447.500000	683	212	0
C10orf95	447.500000	765	130	0
BCAP29	447.500000	654	241	0
SUV39H1	447.000000	701	193	0
ATP5MC2	447.000000	683	211	0
LARP1	446.500000	791	102	0
LANCL2	446.500000	708	185	0
GPAT4	446.500000	685	208	0
FZD5	446.500000	746	147	0
NAA50	445.000000	638	252	0
LAMP1	445.000000	603	287	0
ATP6V1A	445.000000	638	252	0
PARP1	444.500000	889	0	0
HMGA1	444.500000	632	257	0
GALNT2	444.500000	889	0	0
NUP188	444.000000	615	273	0
EIF1AX	444.000000	775	113	0
DOLK	444.000000	615	273	0
TTLL4	443.500000	745	142	0
MED30	443.500000	591	296	0
SIN3A	443.000000	783	103	0
LRRCC1	443.000000	492	394	0
CTSV	443.000000	591	295	0
KRI1	442.500000	518	367	0
ELL3	442.500000	461	424	0
XRCC4	442.000000	600	284	0
TMEM167A	442.000000	600	284	0
LTB4R	441.500000	563	320	0
LTB4R2	441.500000	563	320	0
KDM7A	441.500000	783	100	0
CIDEB	441.500000	563	320	0
NEU1	441.000000	622	260	0
NXT1	440.500000	693	188	0
LRRC10B	440.500000	0	881	0
FAM168A	440.500000	752	129	0
CDK19	440.500000	662	219	0
ATAD3B	440.500000	523	358	0
AMD1	440.500000	662	219	0
ZNF670	440.000000	613	267	0
LARP4B	440.000000	671	209	0
DENND6A	440.000000	668	212	0
SPRY4	439.500000	663	216	0
PLGRKT	439.500000	722	157	0
METTL21A	439.500000	676	203	0
GCFC2	439.500000	669	210	0
SLC35A5	439.000000	763	115	0
ATG3	439.000000	763	115	0
ABCD3	439.000000	617	261	0
TRIM33	438.500000	622	255	0
TMEM222	438.500000	541	336	0
MORC2	438.500000	761	116	0
ZNF180	438.000000	614	262	0
PPM1L	438.000000	876	0	0
ARPC1A	437.500000	669	206	0
ZNF736	437.000000	346	528	0
METTL8	437.000000	692	182	0
DCAF17	437.000000	692	182	0
CIAO3	437.000000	874	0	0
SS18	436.500000	669	204	0
MMAA	436.500000	656	217	0
FER	436.500000	769	104	0
ARL5B	436.500000	750	123	0
RPP14	435.500000	759	112	0
OXNAD1	435.500000	642	229	0
HTD2	435.500000	759	112	0
DPH3	435.500000	642	229	0
YTHDF2	435.000000	870	0	0
TBCA	435.000000	714	156	0
PWP2	435.000000	870	0	0
LOC102724159	435.000000	870	0	0
SRPK1	434.500000	689	180	0
PINX1	434.000000	737	131	0
KLF13	434.000000	726	142	0
FAM227B	434.000000	567	301	0
DTWD1	434.000000	567	301	0
CCT2	434.000000	698	170	0
MRPL45	432.500000	703	162	0
ZNF766	432.000000	683	181	0
SEC22A	432.000000	587	277	0
MED26	432.000000	655	209	0
WRNIP1	431.500000	704	159	0
SCAP	431.500000	627	236	0
SNRPD3	431.000000	751	111	0
RPS3A	431.000000	778	84	0
GUCD1	431.000000	751	111	0
SPESP1	430.500000	861	0	0
SFXN5	430.500000	613	248	0
SF3B4	430.500000	622	239	0
SETDB2	430.000000	729	131	0
CAB39L	430.000000	729	131	0
SARAF	429.500000	859	0	0
CSTF1	429.500000	619	240	0
AURKA	429.500000	619	240	0
ADAM17	429.500000	633	226	0
TDG	429.000000	706	152	0
RABGEF1	429.000000	495	363	0
LENG1	429.000000	490	368	0
SCOC	428.500000	628	229	0
AGGF1	428.500000	669	188	0
SFXN4	428.000000	624	232	0
KCTD7	428.000000	701	155	0
CNPPD1	428.000000	680	176	0
CCDC114	428.000000	579	277	0
SNX24	427.500000	756	99	0
CENPC	427.500000	855	0	0
FH	426.500000	642	211	0
DDX10	426.500000	853	0	0
SOCS5	425.500000	851	0	0
VEZT	425.000000	696	154	0
FGD6	425.000000	696	154	0
RAD23B	424.500000	726	123	0
PYCR2	424.500000	662	187	0
IFRD2	424.500000	709	140	0
TMEM41B	424.000000	724	124	0
SPCS1	424.000000	579	269	0
NEDD1	424.000000	451	397	0
MINK1	424.000000	848	0	0
GLT8D1	424.000000	579	269	0
ASXL1	424.000000	848	0	0
ADAT1	424.000000	288	560	0
SNRPF	423.500000	751	96	0
MICOS13	423.500000	847	0	0
HSD11B1L	423.500000	847	0	0
FBXO42	423.500000	579	268	0
TPRKB	423.000000	547	299	0
UPF3B	422.500000	675	170	0
TNFAIP8	422.500000	688	157	0
PLD6	422.500000	722	123	0
CARD19	422.500000	845	0	0
RAD9A	422.000000	733	111	0
IFI27L1	422.000000	536	308	0
DDX24	422.000000	536	308	0
OPA3	421.500000	707	136	0
RAB14	420.500000	617	224	0
GSN	420.500000	617	224	0
DDX56	420.000000	330	510	0
TMBIM6	419.500000	677	162	0
GEMIN4	419.500000	702	137	0
DHX9	419.500000	446	393	0
TSEN34	419.000000	838	0	0
SP2	419.000000	716	122	0
MBOAT7	419.000000	838	0	0
MANF	419.000000	592	246	0
LMLN	419.000000	567	271	0
IQCG	419.000000	567	271	0
STK35	418.500000	588	249	0
SACM1L	418.000000	633	203	0
PIF1	417.500000	553	282	0
CYP20A1	417.500000	615	220	0
CFDP1	417.500000	324	511	0
DDX50	417.000000	674	160	0
VPS50	416.500000	692	141	0
TNPO1	416.500000	663	170	0
JUND	416.500000	833	0	0
HEPACAM2	416.500000	692	141	0
ENO1	416.500000	464	369	0
CEP131	416.500000	710	123	0
ZFP91	416.000000	525	307	0
MYCN	416.000000	832	0	0
LPXN	416.000000	525	307	0
ZNF75A	415.500000	525	306	0
ZNF33B	415.500000	605	226	0
TIGD7	415.500000	525	306	0
MTRES1	415.500000	831	0	0
MAN1B1	415.500000	705	126	0
SPECC1L	415.000000	663	167	0
SMG9	415.000000	510	320	0
ATG16L1	415.000000	692	138	0
ACBD6	415.000000	548	282	0
XK	414.500000	607	222	0
TMX3	414.500000	596	233	0
CCDC102B	414.500000	596	233	0
AP3M2	414.000000	677	151	0
PDP2	413.500000	552	275	0
UBAC1	412.500000	675	150	0
TMEM127	412.500000	716	109	0
PRADC1	412.500000	573	252	0
CIAO1	412.500000	716	109	0
CCT7	412.500000	573	252	0
CRY1	412.000000	565	259	0
CRNKL1	412.000000	665	159	0
CFAP61	412.000000	665	159	0
TPGS2	411.500000	549	274	0
DEGS1	411.500000	536	287	0
SDCCAG8	411.000000	822	0	0
CEP170	411.000000	822	0	0
PXMP4	410.500000	229	592	0
PIGW	410.500000	571	250	0
PIGC	410.500000	435	386	0
NDUFA4	410.500000	661	160	0
MYO19	410.500000	571	250	0
DUS3L	410.500000	553	268	0
PEX2	410.000000	499	321	0
HSPBAP1	410.000000	614	206	0
GID4	410.000000	820	0	0
FSIP1	410.000000	641	179	0
FAM168B	410.000000	617	203	0
ATPAF2	410.000000	820	0	0
HEBP2	409.500000	819	0	0
SQOR	409.000000	735	83	0
SNRNP48	409.000000	648	170	0
ETAA1	409.000000	638	180	0
MRPL3	408.500000	506	311	0
GALK2	408.500000	612	205	0
ARHGAP28	408.500000	817	0	0
PHIP	408.000000	816	0	0
PDE3B	408.000000	660	156	0
DDX19A	408.000000	547	269	0
PSMB10	407.500000	815	0	0
MED10	407.500000	633	182	0
VPS26C	407.000000	646	168	0
ST3GAL3	407.000000	618	196	0
PRRG4	407.000000	814	0	0
MTHFD1	407.000000	629	185	0
FASTK	407.000000	814	0	0
DNAJC27	407.000000	599	215	0
CBX6	407.000000	814	0	0
APMAP	407.000000	570	244	0
MRPL40	406.500000	633	180	0
HIRA	406.500000	633	180	0
GTPBP8	406.500000	699	114	0
TMA7	406.000000	599	213	0
CCDC51	406.000000	599	213	0
TPCN1	405.500000	669	142	0
TECR	405.500000	613	198	0
RBM28	405.500000	317	494	0
PET117	405.500000	564	247	0
IQCD	405.500000	669	142	0
ZNF567	405.000000	569	241	0
ZNF44	404.500000	809	0	0
ZNF101	404.500000	487	322	0
ECE1	404.000000	623	185	0
ARL5A	404.000000	695	113	0
TTLL7	403.500000	685	122	0
THEM4	403.500000	683	124	0
RAVER1	403.500000	612	195	0
LDHB	403.500000	712	95	0
EID2B	403.500000	629	178	0
CEP83	403.500000	434	373	0
TTLL9	403.000000	545	261	0
SETMAR	403.000000	529	277	0
KHDC4	403.000000	472	334	0
C3orf67	403.000000	685	121	0
PDK3	402.500000	635	170	0
NAV2	402.500000	536	269	0
CCDC126	402.500000	525	280	0
TAF9B	402.000000	804	0	0
MTHFS	402.000000	518	286	0
ZBTB49	401.500000	434	369	0
LYAR	401.500000	434	369	0
FKBPL	401.500000	693	110	0
ZNF92	401.000000	486	316	0
UHRF2	400.500000	576	225	0
RBM17	400.500000	589	212	0
ETV3	400.500000	492	309	0
COQ10A	400.500000	566	235	0
TMEM209	400.000000	577	223	0
NRBF2	400.000000	672	128	0
CENPBD1	400.000000	515	285	0
ZNF724	399.500000	519	280	0
RNF2	399.500000	540	259	0
PIGU	399.500000	606	193	0
TAF1B	398.500000	649	148	0
RMND1	398.500000	607	190	0
NXF1	398.500000	678	119	0
CYSTM1	398.500000	581	216	0
CIC	398.500000	628	169	0
ATP6V0B	398.500000	615	182	0
ARMT1	398.500000	607	190	0
AP3D1	398.500000	797	0	0
METTL9	398.000000	686	110	0
MAN1C1	398.000000	796	0	0
RAN	397.500000	524	271	0
IARS1	397.500000	512	283	0
CDV3	397.500000	795	0	0
TCP11L1	397.000000	604	190	0
HACD2	397.000000	618	176	0
DUSP2	397.000000	555	239	0
MBD1	396.500000	608	185	0
GPR63	396.500000	793	0	0
ACADM	396.500000	592	201	0
HNRNPD	396.000000	627	165	0
C22orf39	396.000000	613	179	0
NOP56	395.500000	651	140	0
EIF2B2	395.500000	536	255	0
VMAC	395.000000	656	134	0
NDUFA11	395.000000	656	134	0
ZBTB37	394.000000	788	0	0
PTPDC1	394.000000	359	429	0
DMXL2	394.000000	504	284	0
ZNF860	393.500000	787	0	0
SLC17A5	393.500000	587	200	0
RAB5A	393.500000	787	0	0
OSBPL10	393.500000	787	0	0
GDI2	393.500000	468	319	0
EFHB	393.500000	787	0	0
DHX34	393.500000	787	0	0
UNC45A	393.000000	454	332	0
SAAL1	393.000000	569	217	0
POC1B-GALNT4	393.000000	432	354	0
POC1B	393.000000	432	354	0
RWDD1	392.500000	589	196	0
UBQLN1	392.000000	567	217	0
SUPT16H	392.000000	472	312	0
PFKFB4	392.000000	784	0	0
ABCF2-H2BE1	392.000000	784	0	0
ABCF2	392.000000	784	0	0
STARD5	391.500000	783	0	0
SLC1A4	391.500000	652	131	0
PRPSAP1	391.500000	542	241	0
PRDM5	391.500000	622	161	0
NUP160	391.500000	589	194	0
UBE2E3	391.000000	622	160	0
U2SURP	390.500000	560	221	0
SH3GL2	390.500000	781	0	0
MBTPS1	390.500000	488	293	0
ZNF551	390.000000	415	365	0
CLDND1	390.000000	659	121	0
GPT2	389.500000	673	106	0
RBM4B	389.000000	497	281	0
H4C8	389.000000	562	216	0
FICD	389.000000	778	0	0
ZCCHC17	388.500000	601	176	0
SNRNP40	388.500000	601	176	0
PMF1-BGLAP	388.500000	630	147	0
PMF1	388.500000	630	147	0
TTC7A	387.500000	625	150	0
SPRYD4	387.500000	647	128	0
MCFD2	387.500000	625	150	0
ZNF438	387.000000	633	141	0
TMEM203	387.000000	281	493	0
POC5	387.000000	638	136	0
NDOR1	387.000000	281	493	0
KDM8	387.000000	626	148	0
COMTD1	387.000000	625	149	0
ATP2A1	387.000000	623	151	0
IMP3	386.500000	504	269	0
ZNF749	386.000000	648	124	0
RUNDC3B	386.000000	506	266	0
SLC35E3	385.500000	324	447	0
RPS14	385.500000	771	0	0
ATP5F1D	385.500000	602	169	0
ACTR5	385.500000	528	243	0
TLE4	385.000000	579	191	0
RSRC1	385.000000	405	365	0
CYLD	384.500000	688	81	0
WDR4	383.500000	587	180	0
ATOH7	383.500000	767	0	0
SIAH2	383.000000	530	236	0
HSD17B7	383.000000	475	291	0
CFL1	383.000000	630	136	0
ZBTB4	382.500000	765	0	0
SRP9	382.500000	610	155	0
POLR2A	382.500000	765	0	0
CSPP1	382.500000	593	172	0
COQ8A	382.500000	623	142	0
PPP1R3D	382.000000	613	151	0
MYBL1	382.000000	411	353	0
FAM217B	382.000000	613	151	0
EMC9	382.000000	491	273	0
TUBB4B	381.500000	576	187	0
TEDC2	381.500000	559	204	0
ACO1	381.500000	657	106	0
SYNCRIP	381.000000	562	200	0
SPAG4	380.500000	626	135	0
RASGEF1B	380.500000	761	0	0
M6PR	380.500000	657	104	0
KLRG1	380.500000	657	104	0
HSPA8	380.500000	761	0	0
CLUH	380.500000	761	0	0
WDR81	380.000000	760	0	0
CEP97	380.000000	531	229	0
C7orf25	380.000000	421	339	0
XYLB	379.500000	570	189	0
RELT	379.500000	589	170	0
PPP2R2D	379.000000	609	149	0
AMZ2	379.000000	758	0	0
RIOK2	378.000000	432	324	0
RFX5	378.000000	628	128	0
FYN	378.000000	756	0	0
U2AF1L5	377.000000	592	162	0
U2AF1	377.000000	592	162	0
CYP2R1	376.500000	513	240	0
ZNF575	376.000000	540	212	0
ZNF530	376.000000	156	596	0
RBM8A	376.000000	492	260	0
PIMREG	376.000000	540	212	0
NDUFS7	376.000000	752	0	0
MIF	375.500000	606	145	0
MAP3K5	375.500000	499	252	0
IL1RAP	375.500000	751	0	0
ERCC5	375.500000	448	303	0
WAPL	375.000000	511	239	0
USP45	375.000000	750	0	0
TMEM109	375.000000	455	295	0
SV2C	375.000000	750	0	0
SET	375.000000	572	178	0
NBPF11	375.000000	750	0	0
GOLPH3	375.000000	475	275	0
PSMD8	374.500000	749	0	0
LSM5	374.500000	398	351	0
HINFP	374.500000	749	0	0
TALDO1	374.000000	615	133	0
PPIL4	374.000000	279	469	0
CCNE1	374.000000	554	194	0
PKIA	373.500000	637	110	0
PDE7A	373.500000	583	164	0
MCAT	373.500000	747	0	0
KMT5A	373.500000	527	220	0
CCT8	373.500000	506	241	0
THOC3	373.000000	241	505	0
POLE3	373.000000	465	281	0
GNA12	373.000000	746	0	0
C9orf43	373.000000	465	281	0
TMEM38A	372.000000	744	0	0
SMIM7	372.000000	744	0	0
SLX4	372.000000	555	189	0
RALGDS	372.000000	656	88	0
SLC35B1	371.500000	743	0	0
RCOR3	371.500000	593	150	0
NPTN	371.500000	572	171	0
CADPS2	371.500000	545	198	0
ALMS1	371.500000	573	170	0
FAM3C	371.000000	636	106	0
AHCYL1	370.500000	484	257	0
USP1	370.000000	474	266	0
AP3S2	370.000000	534	206	0
SLC25A10	369.500000	582	157	0
NFYC	369.500000	470	269	0
DIPK2A	369.500000	637	102	0
BSG	369.000000	738	0	0
PANK2	368.500000	441	296	0
MCM9	368.500000	569	168	0
MANEAL	368.500000	450	287	0
FAM228B	368.500000	529	208	0
SRRM2	368.000000	540	196	0
RGS2	368.000000	614	122	0
ADAM22	368.000000	522	214	0
ZNF200	367.500000	504	231	0
SYNJ1	367.500000	559	176	0
CNDP2	367.500000	608	127	0
CEP20	367.500000	735	0	0
AP3M1	367.500000	601	134	0
ZNF346	367.000000	458	276	0
ZBTB9	367.000000	539	195	0
THADA	367.000000	521	213	0
SAR1B	367.000000	563	171	0
METTL1	367.000000	605	129	0
EEF1AKMT3	367.000000	605	129	0
CATSPERG	367.000000	734	0	0
AP2A2	367.000000	647	87	0
TTF1	366.000000	601	131	0
RPIA	366.000000	663	69	0
HEY2	366.000000	618	114	0
UBE2V2	365.500000	538	193	0
TSNAX	365.500000	571	160	0
SYCE3	365.500000	731	0	0
ZNF143	365.000000	605	125	0
TADA2B	365.000000	492	238	0
SPG21	365.000000	596	134	0
CCDC96	365.000000	492	238	0
ZNF324B	364.500000	642	87	0
RAB5C	364.500000	729	0	0
DNAJA1	364.500000	452	277	0
CFAP43	364.500000	467	262	0
APTX	364.500000	452	277	0
LAPTM4A	364.000000	492	236	0
GTF2IRD2B	364.000000	600	128	0
CUTA	363.500000	616	111	0
CNOT8	363.500000	569	158	0
THOC6	363.000000	647	79	0
SMCHD1	363.000000	565	161	0
SELENOK	363.000000	613	113	0
OGG1	363.000000	585	141	0
NSD2	363.000000	554	172	0
MATR3	363.000000	548	178	0
HCFC1R1	363.000000	647	79	0
EIF2B3	363.000000	588	138	0
WDR45	362.500000	597	128	0
SLC25A16	362.500000	725	0	0
GPBP1	362.500000	555	170	0
CASD1	362.500000	519	206	0
TTC25	362.000000	558	166	0
PGBD2	362.000000	610	114	0
GGA2	362.000000	724	0	0
ADAM15	362.000000	596	128	0
CCDC84	361.500000	619	104	0
GOPC	361.000000	722	0	0
EIF1	361.000000	594	128	0
H4C1	360.500000	484	237	0
MAP4	360.000000	720	0	0
HMGB3	360.000000	528	192	0
EEF1A1	360.000000	720	0	0
ARHGAP21	360.000000	601	119	0
STXBP5L	359.500000	719	0	0
RBM39	359.500000	597	122	0
ZNF214	359.000000	718	0	0
NRF1	359.000000	454	264	0
NLRP14	359.000000	718	0	0
EEA1	359.000000	550	168	0
PTPN1	358.500000	717	0	0
KCNA3	358.500000	541	176	0
CCL28	358.500000	717	0	0
RABL6	358.000000	603	113	0
PGK1	358.000000	594	122	0
MAP3K3	358.000000	559	157	0
FGD4	358.000000	495	221	0
F11R	357.500000	715	0	0
ZNF527	357.000000	467	247	0
SLC25A6	357.000000	615	99	0
DVL3	356.500000	713	0	0
DDB2	356.500000	593	120	0
TMEM161B	356.000000	495	217	0
POLG	356.000000	484	228	0
LPCAT3	356.000000	712	0	0
LAP3	356.000000	576	136	0
EIF4EBP2	356.000000	499	213	0
CRYBG3	356.000000	612	100	0
CGAS	356.000000	445	267	0
TIGD4	355.500000	502	209	0
PTMA	355.500000	711	0	0
PDE8A	355.500000	514	197	0
CCDC14	355.500000	388	323	0
ARFIP1	355.500000	502	209	0
TRAPPC10	355.000000	427	283	0
SLC35B4	355.000000	564	146	0
NGRN	355.000000	457	253	0
SLCO4C1	354.500000	709	0	0
FAM174C	354.500000	552	157	0
TGFBRAP1	354.000000	518	190	0
ALOX5	354.000000	197	511	0
SAMM50	353.500000	602	105	0
RNMT	353.500000	516	191	0
NSUN3	353.500000	585	122	0
MAPK8IP3	353.500000	531	176	0
FAM210A	353.500000	516	191	0
DHFR2	353.500000	585	122	0
COX17	353.500000	506	201	0
ZNF770	353.000000	419	287	0
PHKG2	353.000000	618	88	0
OVCA2	353.000000	706	0	0
TMEM43	352.500000	592	113	0
GNE	352.500000	432	273	0
CROT	352.500000	564	141	0
CHCHD4	352.500000	592	113	0
CCDC28A	352.500000	336	369	0
TGFBR1	352.000000	704	0	0
LSM11	352.000000	447	257	0
ARHGEF11	352.000000	704	0	0
ZNF142	351.500000	601	102	0
CACTIN	351.500000	543	160	0
BCS1L	351.500000	601	102	0
RAB11FIP5	351.000000	505	197	0
MKI67	351.000000	398	304	0
GLCE	351.000000	610	92	0
BAX	351.000000	532	170	0
ABCA3	351.000000	439	263	0
TSACC	350.500000	558	143	0
PROSER3	350.500000	522	179	0
KIFAP3	350.500000	606	95	0
HSPB6	350.500000	522	179	0
CCT3	350.500000	558	143	0
AK3	350.500000	597	104	0
TWISTNB	350.000000	499	201	0
STPG2	350.000000	530	170	0
IFT172	350.000000	607	93	0
HNRNPM	350.000000	568	132	0
ILF3	349.500000	529	170	0
TTLL1	349.000000	461	237	0
C3orf52	349.000000	568	130	0
RGPD2	348.500000	537	160	0
PDIA3	348.500000	486	211	0
HMGN3	348.500000	424	273	0
STAT3	348.000000	481	215	0
R3HDM2	348.000000	696	0	0
ZNF324	347.500000	566	129	0
LENG8	347.500000	568	127	0
KIAA1841	347.500000	549	146	0
EGLN2	347.500000	695	0	0
NAF1	347.000000	572	122	0
H3C4	347.000000	694	0	0
CAMTA1	347.000000	536	158	0
ICMT	346.500000	536	157	0
ZNF266	346.000000	299	393	0
UHRF1BP1	346.000000	496	196	0
OSBPL6	345.500000	543	148	0
LMTK2	345.500000	569	122	0
ALG10B	345.500000	541	150	0
TSPYL2	345.000000	690	0	0
SDHA	345.000000	510	180	0
RPS3	345.000000	414	276	0
NDUFS1	345.000000	537	153	0
EEF1B2	345.000000	537	153	0
CCDC127	345.000000	510	180	0
PCYOX1L	344.500000	499	190	0
MVB12A	344.500000	689	0	0
ZNF341	344.000000	536	152	0
SNRK	344.000000	454	234	0
NUDCD1	344.000000	316	372	0
KPNA2	344.000000	549	139	0
ENY2	344.000000	316	372	0
TES	343.000000	474	212	0
RGL2	343.000000	591	95	0
PPP4R2	343.000000	686	0	0
PBLD	343.000000	521	165	0
MTMR10	343.000000	564	122	0
HNRNPH3	343.000000	521	165	0
UBXN11	342.500000	492	193	0
TPR	342.500000	499	186	0
SNAP29	342.500000	546	139	0
PI4KA	342.500000	546	139	0
ODR4	342.500000	499	186	0
NDUFV1	342.500000	502	183	0
GPD1L	342.500000	559	126	0
GOLIM4	342.500000	469	216	0
SEC63	342.000000	684	0	0
MALT1	342.000000	437	247	0
SLC4A7	341.500000	683	0	0
MED17	341.500000	683	0	0
CYBC1	341.500000	481	202	0
CNTROB	341.500000	533	150	0
POGK	341.000000	500	182	0
NPL	341.000000	433	249	0
G2E3	341.000000	439	243	0
FMNL3	341.000000	682	0	0
ANXA6	341.000000	682	0	0
ZBTB2	340.500000	503	178	0
TMCO6	340.500000	681	0	0
RAB35	340.500000	403	278	0
OCEL1	340.500000	557	124	0
MTFR1	340.500000	533	148	0
HM13	340.500000	555	126	0
GNB2	340.500000	556	125	0
DPP3	340.500000	681	0	0
ZNF611	340.000000	680	0	0
SLC36A1	340.000000	680	0	0
RETREG2	340.000000	680	0	0
H2BC21	340.000000	470	210	0
TRMO	339.500000	519	160	0
PKD2L2	339.500000	446	233	0
NADK	339.500000	575	104	0
CHMP3	339.500000	470	209	0
CHD1L	339.500000	571	108	0
CC2D1B	339.500000	545	134	0
ZBTB3	339.000000	678	0	0
TMEM52	339.000000	678	0	0
TIGAR	338.500000	677	0	0
NDUFV3	338.500000	548	129	0
GAPDH	338.500000	677	0	0
EIF3A	338.500000	526	151	0
TMTC3	338.000000	475	201	0
PEAK1	338.000000	573	103	0
PDXDC1	338.000000	537	139	0
NDUFC1	338.000000	353	323	0
NAA15	338.000000	353	323	0
MLF1	338.000000	449	227	0
HMG20A	338.000000	573	103	0
CEP290	338.000000	475	201	0
SLC25A5	337.500000	512	163	0
RSPH14	337.500000	675	0	0
NBPF12	337.500000	540	135	0
MCUB	337.500000	502	173	0
LYN	337.500000	675	0	0
TRIM39	337.000000	489	185	0
SPOUT1	337.000000	470	204	0
SDCBP	337.000000	674	0	0
RPLP1	337.000000	410	264	0
GAS8	337.000000	481	193	0
TOM1L1	336.500000	565	108	0
SUMO1	336.500000	503	170	0
RRP1	336.500000	485	188	0
EID2	336.500000	568	105	0
ATR	336.500000	411	262	0
ACAP2	336.500000	527	146	0
FAM161B	336.000000	428	244	0
COQ6	336.000000	428	244	0
CD164	336.000000	550	122	0
TSTD1	335.500000	436	235	0
EXOSC2	335.500000	671	0	0
CDKN2AIPNL	335.500000	307	364	0
SLC6A6	335.000000	531	139	0
PGD	335.000000	493	177	0
NDUFAF6	335.000000	403	267	0
CCNE2	335.000000	403	267	0
AP2A1	335.000000	564	106	0
RPL27	334.500000	513	156	0
GAB2	334.500000	669	0	0
LAS1L	334.000000	555	113	0
UTP18	333.500000	412	255	0
SOD1	333.500000	542	125	0
MBTD1	333.500000	412	255	0
FAAH	333.500000	667	0	0
CCNO	333.500000	442	225	0
AKT3	333.500000	420	247	0
RUNX1	333.000000	566	100	0
RPUSD1	333.000000	349	317	0
NUCB2	333.000000	431	235	0
MLEC	333.000000	445	221	0
EXOG	333.000000	535	131	0
CHTF18	333.000000	349	317	0
ZNF66	332.500000	394	271	0
GLTPD2	332.500000	665	0	0
DDX5	332.500000	511	154	0
TSEN15	332.000000	383	281	0
PTPMT1	332.000000	486	178	0
MEA1	332.000000	478	186	0
KLHDC3	332.000000	478	186	0
CELF1	332.000000	486	178	0
TXNDC9	331.500000	540	123	0
MRPS30	331.500000	522	141	0
MCUR1	331.500000	556	107	0
EIF5B	331.500000	540	123	0
ANAPC1	331.500000	409	254	0
TUFT1	331.000000	662	0	0
LYPLA1	331.000000	662	0	0
BTAF1	331.000000	509	153	0
TYK2	330.500000	394	267	0
RNF187	330.500000	661	0	0
PPP1R10	330.500000	548	113	0
MRPS18B	330.500000	548	113	0
HEATR5A	330.500000	407	254	0
ANAPC5	330.500000	356	305	0
ABCF1	330.500000	520	141	0
FLYWCH1	330.000000	660	0	0
FAM86B1	330.000000	660	0	0
AKR1A1	330.000000	473	187	0
EIF3CL	329.500000	547	112	0
EIF3C	329.500000	547	112	0
SMARCA5	329.000000	493	165	0
SMAD5	329.000000	483	175	0
MON1B	329.000000	496	162	0
LZTR1	329.000000	508	150	0
ATF4	329.000000	502	156	0
PPP5D1	328.500000	576	81	0
PIGZ	328.500000	657	0	0
HECTD1	328.500000	368	289	0
GPCPD1	328.500000	562	95	0
CALM3	328.500000	576	81	0
APEX2	328.500000	487	170	0
OXCT1	328.000000	504	152	0
NELFA	328.000000	476	180	0
MTAP	328.000000	307	349	0
GID8	328.000000	345	311	0
DIDO1	328.000000	345	311	0
B3GAT2	328.000000	656	0	0
ZYG11A	327.500000	411	244	0
WDCP	327.500000	519	136	0
CEMP1	327.500000	655	0	0
ZCCHC9	327.000000	527	127	0
YBX1	327.000000	480	174	0
POLD2	327.000000	545	109	0
LETM1	327.000000	515	139	0
DIABLO	327.000000	484	170	0
DCAF1	327.000000	501	153	0
DCAF12	327.000000	654	0	0
ZSWIM7	326.500000	512	141	0
TTC19	326.500000	512	141	0
TMEM102	326.500000	653	0	0
MARCHF7	326.500000	503	150	0
CLP1	326.500000	531	122	0
CCDC7	326.000000	652	0	0
BROX	326.000000	474	178	0
AIDA	326.000000	474	178	0
ADPGK	326.000000	481	171	0
SQLE	325.500000	453	198	0
PPIB	325.500000	651	0	0
PKM	325.500000	533	118	0
NUDT3	325.500000	526	125	0
KRT8	325.500000	387	264	0
GPRC5B	325.500000	651	0	0
ERCC6L	325.500000	450	201	0
USP53	325.000000	519	131	0
TARBP1	325.000000	650	0	0
PRKAR1B	325.000000	321	329	0
PPP1R8	325.000000	510	140	0
ALDH3A2	325.000000	523	127	0
TCAF1	324.500000	649	0	0
SSR1	324.500000	495	154	0
PIN1	324.500000	475	174	0
GARS1	324.500000	383	266	0
DYNC1H1	324.500000	534	115	0
ATG10	324.000000	437	211	0
ZNF692	323.500000	509	138	0
DDX46	323.500000	469	178	0
PPIL3	323.000000	315	331	0
NIF3L1	323.000000	315	331	0
H4C5	323.000000	431	215	0
ERCC6L2	323.000000	456	190	0
CDIP1	323.000000	488	158	0
CCNT1	323.000000	443	203	0
ZSCAN32	322.500000	488	157	0
ZNF174	322.500000	488	157	0
EIF5	322.500000	459	186	0
