Target_genes	E2F1|Average	SRX022432|HeLa	SRX150446|HeLa	SRX150563|HeLa	SRX734309|HMEC	SRX2565135|LNCAP	SRX2565136|LNCAP	SRX992662|LNCAP	SRX150556|MCF-7	SRX2585781|MDA-MB-231	SRX1726515|MM.1S	SRX275409|OCI-LY1	SRX1556104|PC-3	SRX1556105|PC-3	SRX1497386|RAJI	SRX1497396|RAJI	SRX1007721|SK-MEL-147	SRX1726518|U-266	SRX334238|Unclassified	SRX334239|Unclassified	SRX334242|Unclassified	SRX334243|Unclassified	SRX334246|Unclassified	SRX334247|Unclassified	SRX334250|Unclassified	SRX334251|Unclassified	SRX334254|Unclassified	SRX334255|Unclassified	SRX334258|Unclassified	SRX334259|Unclassified	SRX334262|Unclassified	SRX334263|Unclassified	SRX334265|Unclassified	SRX334266|Unclassified	SRX1548204|Wharton_Jelly	SRX1548205|Wharton_Jelly	SRX1548206|Wharton_Jelly	SRX1548207|Wharton_Jelly	SRX1548208|Wharton_Jelly	SRX1548209|Wharton_Jelly	STRING
ZNF189	250.461538	0	252	235	179	778	227	637	1050	1693	373	670	0	0	0	136	0	122	683	282	411	253	378	326	199	275	0	0	0	100	138	216	155	0	0	0	0	0	0	0	0
MRPL50	250.461538	0	252	235	179	778	227	637	1050	1693	373	670	0	0	0	136	0	122	683	282	411	253	378	326	199	275	0	0	0	100	138	216	155	0	0	0	0	0	0	0	0
MRPL3	250.435897	231	1265	602	181	996	148	573	2158	986	0	147	0	0	0	157	0	0	474	252	224	206	290	208	177	192	0	0	0	0	116	184	0	0	0	0	0	0	0	0	0
BLMH	250.384615	0	1649	730	0	381	0	767	3061	464	176	160	0	0	0	0	0	135	502	148	0	101	346	134	267	214	0	0	0	0	209	161	0	0	0	0	0	160	0	0	0
PANK4	250.307692	0	434	0	245	495	151	948	304	1138	209	482	0	0	122	264	0	0	834	549	482	384	552	397	315	388	0	138	140	185	238	368	0	0	0	0	0	0	0	0	0
RWDD1	250.230769	0	639	314	251	616	112	709	1348	1383	481	261	0	0	0	291	0	0	646	171	341	253	312	292	388	205	137	118	0	157	153	181	0	0	0	0	0	0	0	0	0
SLC2A13	250.102564	0	373	184	148	372	394	1127	1225	464	308	375	0	0	0	372	0	0	580	270	184	350	503	323	309	240	0	0	180	210	144	359	579	181	0	0	0	0	0	0	0
DYNLRB2	250.076923	112	404	381	0	1230	186	864	2240	1237	0	286	0	0	0	0	0	0	673	249	208	143	375	189	368	244	0	0	0	0	175	189	0	0	0	0	0	0	0	0	0
C16orf71	250.051282	0	232	239	220	1158	223	1108	889	393	345	140	0	0	0	191	0	0	699	264	412	361	582	300	473	229	0	118	0	139	185	420	191	126	0	115	0	0	0	0	0
ANKS3	250.051282	0	232	239	220	1158	223	1108	889	393	345	140	0	0	0	191	0	0	699	264	412	361	582	300	473	229	0	118	0	139	185	420	191	126	0	115	0	0	0	0	0
ACVR2B	250.051282	0	1449	579	522	464	0	857	1519	238	0	251	0	0	0	0	0	0	728	268	270	318	422	383	338	343	0	134	0	0	201	318	0	150	0	0	0	0	0	0	0
POM121	250.000000	271	0	188	307	688	0	622	654	1434	322	321	0	0	58	260	0	0	750	245	406	314	675	323	460	294	0	184	0	171	154	269	102	168	0	0	0	110	0	0	0
FAM156B	250.000000	0	938	353	0	911	128	1104	598	796	217	218	0	0	0	0	0	0	642	215	372	277	401	272	471	328	128	208	169	174	266	332	232	0	0	0	0	0	0	0	0
FAM156A	250.000000	0	938	353	0	911	128	1104	598	796	217	218	0	0	0	0	0	0	642	215	372	277	401	272	471	328	128	208	169	174	266	332	232	0	0	0	0	0	0	0	0
MTBP	249.948718	619	0	0	225	1363	616	1363	999	848	102	273	0	0	0	409	0	0	315	154	173	183	240	159	214	184	0	108	134	169	188	206	365	0	0	0	0	139	0	0	0
MRPL13	249.948718	619	0	0	225	1363	616	1363	999	848	102	273	0	0	0	409	0	0	315	154	173	183	240	159	214	184	0	108	134	169	188	206	365	0	0	0	0	139	0	0	0
XRN2	249.846154	0	168	199	180	635	207	761	2026	1414	96	370	0	0	115	354	0	0	527	232	212	283	424	271	228	181	0	0	0	0	210	164	339	148	0	0	0	0	0	0	0
ST7	249.794872	0	1444	490	0	632	0	863	2000	489	197	562	0	0	0	0	0	0	607	232	254	205	342	238	334	251	0	0	0	0	140	314	148	0	0	0	0	0	0	0	0
RGS10	249.692308	0	1670	752	306	366	0	440	1442	583	374	0	0	0	67	163	0	0	521	346	374	338	497	275	271	161	0	95	0	170	204	193	0	0	0	0	0	130	0	0	0
PPP1R10	249.692308	0	180	235	508	919	152	793	1475	875	386	333	0	0	143	224	0	126	476	217	286	252	566	205	319	220	0	0	0	146	0	264	180	148	0	0	0	110	0	0	0
NUDCD3	249.692308	428	157	149	357	561	113	656	832	1090	456	277	0	0	319	645	0	324	516	130	292	197	489	222	314	220	101	133	115	118	132	296	99	0	0	0	0	0	0	0	0
MRPS18B	249.692308	0	180	235	508	919	152	793	1475	875	386	333	0	0	143	224	0	126	476	217	286	252	566	205	319	220	0	0	0	146	0	264	180	148	0	0	0	110	0	0	0
ANAPC1	249.692308	172	446	306	349	872	131	1113	1332	1738	133	113	0	0	0	171	0	0	531	199	254	190	492	215	192	209	0	0	0	102	0	236	242	0	0	0	0	0	0	0	0
HMGN3	249.589744	0	134	121	211	1093	261	1604	994	508	490	364	0	0	0	0	0	153	589	296	275	204	495	168	347	233	128	121	0	127	206	284	205	0	0	0	0	123	0	0	0
HP1BP3	249.564103	0	1424	671	306	366	0	642	1338	770	558	361	0	0	338	518	0	177	405	210	215	200	324	161	207	152	0	125	0	0	0	124	0	0	0	0	67	0	74	0	0
DUSP2	249.564103	0	1012	408	204	444	0	1175	1098	0	329	453	0	0	166	557	0	0	673	313	375	272	416	341	453	224	148	0	107	139	186	240	0	0	0	0	0	0	0	0	0
GLTP	249.358974	0	1083	300	0	637	84	757	148	145	154	146	0	0	0	0	0	0	985	438	592	538	853	518	450	466	166	163	160	215	302	425	0	0	0	0	0	0	0	0	0
PPM1L	249.307692	0	882	371	274	546	0	980	693	595	916	647	0	0	112	268	0	0	543	364	326	247	543	269	256	198	0	0	0	169	251	273	0	0	0	0	0	0	0	0	0
FHDC1	249.153846	0	321	206	325	615	191	1059	1304	0	279	0	0	0	0	0	0	0	848	505	521	555	515	383	484	396	228	130	153	156	224	319	0	0	0	0	0	0	0	0	0
CHPF2	249.102564	0	0	0	256	903	0	1581	1081	1024	737	0	0	0	0	345	0	0	935	0	371	540	634	463	178	192	0	0	0	0	0	475	0	0	0	0	0	0	0	0	0
TYK2	249.076923	0	236	220	670	954	254	1245	459	1575	463	198	0	0	85	358	0	0	352	201	182	303	307	143	254	169	122	91	108	0	177	253	0	0	0	98	0	92	145	0	0
SOAT1	248.974359	0	872	495	161	715	111	1124	1885	816	456	392	0	0	173	529	0	123	279	116	143	142	465	192	181	79	0	0	0	0	148	113	0	0	0	0	0	0	0	0	0
NOXO1	248.948718	0	598	262	189	434	131	773	962	158	407	314	0	0	0	0	0	0	692	466	495	442	656	283	488	316	152	181	219	214	251	352	150	0	0	0	0	124	0	0	0
GFER	248.948718	0	598	262	189	434	131	773	962	158	407	314	0	0	0	0	0	0	692	466	495	442	656	283	488	316	152	181	219	214	251	352	150	0	0	0	0	124	0	0	0
SLC25A17	248.923077	0	0	0	0	1363	465	1779	198	662	0	866	0	0	231	719	0	0	325	380	274	354	669	143	287	180	0	127	0	96	220	370	0	0	0	0	0	0	0	0	0
H3-3B	248.923077	0	408	0	812	1367	108	1628	1195	1823	543	358	0	0	0	427	0	0	174	0	148	0	0	0	181	0	107	0	0	149	0	120	0	0	0	0	0	0	160	0	0
CCDC126	248.871795	0	395	148	276	662	228	1031	692	733	372	566	0	0	101	391	0	0	754	343	341	341	544	365	259	266	0	0	0	174	252	337	135	0	0	0	0	0	0	0	0
ITPRID2	248.820513	0	1774	747	108	486	0	766	1468	396	0	414	0	0	0	0	0	0	722	269	283	369	441	287	179	261	0	122	0	116	144	352	0	0	0	0	0	0	0	0	0
TTC23L	248.794872	235	0	0	98	954	167	1301	1828	251	219	0	0	0	0	0	0	91	770	312	318	352	693	349	396	276	0	168	132	225	189	268	111	0	0	0	0	0	0	0	0
PRMT5	248.743590	349	0	0	1307	653	104	1295	362	1517	304	122	0	0	0	162	445	0	613	299	214	173	541	184	350	104	0	0	0	0	202	139	262	0	0	0	0	0	0	0	0
FARSA	248.717949	0	246	142	444	862	281	964	361	1045	244	240	0	0	117	320	0	0	655	521	320	459	464	242	291	227	132	0	112	143	225	303	168	0	0	0	0	172	0	0	0
CALR	248.717949	0	246	142	444	862	281	964	361	1045	244	240	0	0	117	320	0	0	655	521	320	459	464	242	291	227	132	0	112	143	225	303	168	0	0	0	0	172	0	0	0
PRKACB	248.692308	0	824	395	129	483	0	715	398	530	0	297	0	0	0	0	0	0	936	477	536	521	790	261	662	453	163	163	153	135	222	343	113	0	0	0	0	0	0	0	0
ZNF692	248.666667	0	1161	634	218	675	191	803	1140	998	243	305	0	0	143	212	0	0	491	198	220	250	441	323	331	186	0	0	0	122	162	251	0	0	0	0	0	0	0	0	0
SHTN1	248.615385	110	891	616	381	732	139	983	1251	554	235	168	0	0	0	0	0	0	665	203	352	325	560	156	296	165	118	128	0	0	234	267	167	0	0	0	0	0	0	0	0
FUT8	248.615385	0	608	303	324	651	0	635	1119	838	297	126	0	0	0	187	0	0	813	460	390	236	499	344	422	394	157	180	0	207	169	337	0	0	0	0	0	0	0	0	0
UBC	248.538462	114	1699	758	174	1275	0	252	688	1059	0	179	0	0	0	171	0	0	583	239	211	235	426	244	245	329	111	85	0	161	113	173	169	0	0	0	0	0	0	0	0
NPEPPS	248.538462	0	863	351	131	377	0	850	1249	388	265	407	0	0	0	0	0	0	737	568	468	486	907	181	229	272	0	0	0	222	363	379	0	0	0	0	0	0	0	0	0
OSBPL3	248.512821	0	909	308	356	921	253	1639	0	550	194	580	0	0	257	586	0	121	501	306	370	350	491	209	278	277	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0
ITPR3	248.435897	0	1875	1260	174	302	0	858	3770	292	218	576	0	0	0	0	0	0	112	0	84	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COQ8A	248.435897	0	1133	429	192	678	140	1062	933	1457	587	244	0	0	129	220	0	120	301	242	173	290	362	168	155	170	0	124	0	141	114	125	0	0	0	0	0	0	0	0	0
TES	248.384615	0	501	138	182	893	226	895	1111	788	306	492	0	0	0	0	0	135	721	269	348	352	443	322	303	293	120	0	0	214	159	324	0	0	0	152	0	0	0	0	0
ESRRA	248.358974	0	313	328	194	272	140	1172	465	800	1118	330	0	0	0	571	0	104	783	241	336	284	606	279	237	259	0	191	125	0	172	236	130	0	0	0	0	0	0	0	0
CATSPERZ	248.358974	0	313	328	194	272	140	1172	465	800	1118	330	0	0	0	571	0	104	783	241	336	284	606	279	237	259	0	191	125	0	172	236	130	0	0	0	0	0	0	0	0
C10orf143	248.333333	0	184	103	332	1041	345	1101	1069	1009	531	369	0	0	0	332	0	0	479	199	392	221	467	107	285	262	106	119	0	158	139	186	149	0	0	0	0	0	0	0	0
PAK4	248.307692	0	379	178	374	1279	315	1376	1401	1087	510	652	0	0	0	366	0	0	356	151	220	189	254	0	123	133	0	0	0	0	0	125	0	0	0	0	0	120	96	0	0
ZNF93	248.282051	0	0	0	305	1229	371	1097	217	1062	583	317	0	0	0	381	0	0	685	385	316	285	515	347	420	288	147	0	150	87	0	229	267	0	0	0	0	0	0	0	0
LAD1	248.102564	0	0	0	170	757	156	1294	359	0	0	0	0	0	0	0	0	0	1017	404	541	483	782	368	780	412	218	256	168	325	386	604	196	0	0	0	0	0	0	0	0
SLC41A3	248.025641	0	870	299	239	871	101	1379	802	276	358	599	0	0	0	190	0	0	740	242	365	404	450	279	366	249	0	0	0	111	0	180	0	0	0	173	0	130	0	0	0
C14orf119	247.846154	0	535	221	0	364	0	499	1853	1157	102	193	0	0	0	220	0	0	702	375	360	316	639	192	436	355	0	232	0	148	243	273	251	0	0	0	0	0	0	0	0
ZDHHC6	247.794872	414	155	181	314	790	173	785	1294	1484	228	299	0	0	0	369	0	0	569	204	226	298	412	0	343	190	0	0	0	148	116	242	277	0	0	0	0	153	0	0	0
VTI1A	247.794872	414	155	181	314	790	173	785	1294	1484	228	299	0	0	0	369	0	0	569	204	226	298	412	0	343	190	0	0	0	148	116	242	277	0	0	0	0	153	0	0	0
ZNF860	247.769231	127	703	327	231	362	0	501	1757	989	577	216	0	0	0	212	0	0	681	151	231	333	539	279	218	212	94	171	0	153	113	317	169	0	0	0	0	0	0	0	0
OSBPL10	247.769231	127	703	327	231	362	0	501	1757	989	577	216	0	0	0	212	0	0	681	151	231	333	539	279	218	212	94	171	0	153	113	317	169	0	0	0	0	0	0	0	0
SCOC	247.743590	0	0	0	430	603	214	1854	1061	818	631	389	0	0	0	0	0	119	525	182	302	214	462	270	262	283	101	0	0	107	229	231	298	0	0	0	77	0	0	0	0
CHFR	247.743590	0	0	0	112	874	293	961	1795	681	0	335	0	0	0	0	0	0	845	436	361	529	495	265	403	304	160	0	129	189	167	231	97	0	0	0	0	0	0	0	0
BCAS2	247.487179	0	146	0	221	554	255	1204	2772	1479	259	336	0	0	0	268	0	0	350	155	162	193	330	178	153	171	0	140	0	0	126	103	97	0	0	0	0	0	0	0	0
UNC79	247.384615	0	700	164	260	766	118	1104	424	797	262	582	0	0	0	0	0	0	994	389	359	448	520	245	322	368	0	0	126	167	204	329	0	0	0	0	0	0	0	0	0
BTBD7	247.384615	0	700	164	260	766	118	1104	424	797	262	582	0	0	0	0	0	0	994	389	359	448	520	245	322	368	0	0	126	167	204	329	0	0	0	0	0	0	0	0	0
PRKCE	247.333333	109	1784	702	132	460	91	769	927	603	677	405	0	0	0	0	0	0	575	299	231	165	273	184	197	159	112	126	122	119	118	180	0	0	0	0	0	127	0	0	0
ZNF736	247.282051	0	0	0	312	1200	454	1580	463	863	189	518	0	0	226	464	0	0	623	236	252	313	349	150	315	167	0	169	0	191	0	279	331	0	0	0	0	0	0	0	0
TKFC	247.282051	0	649	251	263	655	0	656	949	1379	442	412	0	0	0	238	0	0	737	338	281	348	408	262	503	276	0	0	0	144	222	231	0	0	0	0	0	0	0	0	0
DDB1	247.282051	0	649	251	263	655	0	656	949	1379	442	412	0	0	0	238	0	0	737	338	281	348	408	262	503	276	0	0	0	144	222	231	0	0	0	0	0	0	0	0	0
VGLL4	247.230769	0	706	318	309	582	170	852	1264	879	417	0	0	0	0	0	0	0	541	341	347	276	419	351	323	333	180	181	0	198	269	297	0	0	0	0	0	89	0	0	0
SLC25A29	247.076923	0	681	229	131	695	176	910	1913	260	0	458	0	0	0	0	0	0	645	377	394	474	571	162	353	218	0	0	121	231	217	275	0	0	0	0	0	145	0	0	0
KCTD5	246.897436	154	169	0	202	792	0	884	386	1383	137	332	0	0	0	0	0	0	923	284	434	406	615	365	524	365	174	133	109	172	232	304	150	0	0	0	0	0	0	0	0
DSTN	246.871795	0	879	460	282	423	0	486	3104	1222	138	0	0	0	0	229	0	0	392	168	191	240	328	315	213	210	0	0	0	0	0	239	0	0	0	0	0	0	109	0	0
CYP51A1	246.871795	196	872	413	210	758	140	784	1773	826	339	255	0	0	0	142	0	0	411	170	248	292	324	199	236	262	97	0	0	169	132	211	169	0	0	0	0	0	0	0	0
WDR48	246.846154	100	0	0	187	938	209	1236	580	1800	283	0	0	0	0	0	0	0	664	358	523	354	501	245	278	273	0	197	0	200	169	256	276	0	0	0	0	0	0	0	0
SCN11A	246.846154	100	0	0	187	938	209	1236	580	1800	283	0	0	0	0	0	0	0	664	358	523	354	501	245	278	273	0	197	0	200	169	256	276	0	0	0	0	0	0	0	0
PAQR8	246.846154	0	978	417	200	444	0	520	1986	930	504	531	0	0	0	0	0	130	693	259	237	194	356	133	345	182	0	0	0	128	152	193	0	0	0	0	0	115	0	0	0
PLXNB2	246.820513	0	782	328	0	831	386	1103	0	237	0	482	0	0	0	0	0	0	884	286	478	405	738	325	441	463	138	0	160	246	330	503	80	0	0	0	0	0	0	0	0
FAM104A	246.820513	0	0	80	138	644	126	1222	404	1077	475	199	0	0	0	319	0	0	901	304	490	492	636	354	407	368	152	130	0	0	207	310	191	0	0	0	0	0	0	0	0
C17orf80	246.820513	0	0	80	138	644	126	1222	404	1077	475	199	0	0	0	319	0	0	901	304	490	492	636	354	407	368	152	130	0	0	207	310	191	0	0	0	0	0	0	0	0
SLC17A5	246.743590	0	272	198	314	662	0	918	606	1353	552	130	0	0	124	348	0	0	782	343	330	300	487	345	405	273	130	118	0	114	192	220	107	0	0	0	0	0	0	0	0
SOWAHC	246.435897	277	547	361	410	499	168	1005	807	1120	406	0	0	0	0	0	0	0	587	351	504	326	603	381	403	306	142	0	0	124	0	284	0	0	0	0	0	0	0	0	0
SEPTIN10	246.435897	277	547	361	410	499	168	1005	807	1120	406	0	0	0	0	0	0	0	587	351	504	326	603	381	403	306	142	0	0	124	0	284	0	0	0	0	0	0	0	0	0
METTL25	246.410256	107	266	419	122	673	160	868	2104	1334	142	186	0	0	0	180	0	90	463	187	328	201	363	186	149	253	0	168	0	137	107	282	135	0	0	0	0	0	0	0	0
CCDC59	246.410256	107	266	419	122	673	160	868	2104	1334	142	186	0	0	0	180	0	90	463	187	328	201	363	186	149	253	0	168	0	137	107	282	135	0	0	0	0	0	0	0	0
ZDHHC23	246.256410	0	1727	634	0	672	0	943	1636	0	138	298	0	0	0	0	0	0	678	241	425	346	371	198	331	188	78	0	0	144	254	302	0	0	0	0	0	0	0	0	0
ING1	246.205128	143	192	131	546	405	136	618	327	1191	678	832	0	0	176	425	0	78	760	398	242	261	439	282	278	323	169	0	0	0	0	292	133	0	0	147	0	0	0	0	0
CALCOCO2	246.179487	0	0	0	230	370	0	1031	269	961	363	466	0	0	0	154	0	119	1028	583	465	435	863	536	502	274	0	0	207	174	191	380	0	0	0	0	0	0	0	0	0
VPS26A	246.076923	0	579	192	195	539	0	1420	269	1362	656	344	0	0	0	448	0	0	552	361	255	378	588	291	258	194	0	0	0	119	141	307	149	0	0	0	0	0	0	0	0
POC5	246.051282	109	127	126	360	1098	262	1251	1342	1766	703	0	0	0	0	282	0	0	302	171	207	204	244	180	152	191	0	98	0	0	89	140	192	0	0	0	0	0	0	0	0
ERCC5	245.923077	71	80	141	407	591	181	700	621	1469	343	511	0	0	0	286	0	192	531	297	321	291	487	356	249	183	194	148	142	125	128	305	241	0	0	0	0	0	0	0	0
VPS50	245.871795	0	0	179	220	570	230	1093	1268	1046	226	943	0	0	0	231	0	0	520	252	250	305	463	195	312	247	150	0	0	133	251	234	271	0	0	0	0	0	0	0	0
HEPACAM2	245.871795	0	0	179	220	570	230	1093	1268	1046	226	943	0	0	0	231	0	0	520	252	250	305	463	195	312	247	150	0	0	133	251	234	271	0	0	0	0	0	0	0	0
SMAD2	245.820513	0	1418	785	320	618	0	667	1372	191	690	299	0	0	169	260	0	95	487	232	226	232	270	241	321	226	0	0	0	110	163	195	0	0	0	0	0	0	0	0	0
SETD3	245.794872	0	451	220	300	663	181	1243	1058	1481	305	380	0	0	0	205	0	0	536	295	258	284	366	254	300	252	0	152	0	0	153	154	95	0	0	0	0	0	0	0	0
CCNK	245.794872	0	451	220	300	663	181	1243	1058	1481	305	380	0	0	0	205	0	0	536	295	258	284	366	254	300	252	0	152	0	0	153	154	95	0	0	0	0	0	0	0	0
C6orf89	245.769231	328	264	152	288	640	218	1294	557	1448	431	241	0	0	71	361	0	0	473	267	316	239	346	257	267	306	140	0	0	0	231	178	272	0	0	0	0	0	0	0	0
RBM48	245.743590	135	160	0	219	377	137	1264	1572	713	294	164	0	0	0	290	0	0	468	306	303	350	382	279	385	397	0	0	0	238	156	390	395	210	0	0	0	0	0	0	0
PEX1	245.743590	135	160	0	219	377	137	1264	1572	713	294	164	0	0	0	290	0	0	468	306	303	350	382	279	385	397	0	0	0	238	156	390	395	210	0	0	0	0	0	0	0
CNNM3	245.692308	0	1698	870	0	482	155	711	653	227	141	414	0	0	0	0	0	115	661	313	267	378	515	360	430	266	0	170	0	128	234	277	0	0	0	0	0	117	0	0	0
CDK19	245.692308	0	764	238	818	613	93	986	1195	1318	328	265	0	0	0	260	0	0	422	310	251	275	347	160	212	219	96	0	0	85	0	206	121	0	0	0	0	0	0	0	0
M6PR	245.615385	0	100	114	543	583	261	1452	700	850	475	463	0	0	234	497	0	0	447	175	335	388	399	145	368	187	0	0	0	155	0	137	451	0	0	0	0	0	120	0	0
KLRG1	245.615385	0	100	114	543	583	261	1452	700	850	475	463	0	0	234	497	0	0	447	175	335	388	399	145	368	187	0	0	0	155	0	137	451	0	0	0	0	0	120	0	0
RPAP2	245.589744	113	1001	414	203	834	0	902	1166	1402	286	269	0	0	0	200	0	0	514	216	268	232	404	241	262	184	189	0	0	0	0	178	0	0	0	0	0	100	0	0	0
ITGAV	245.589744	0	1718	753	313	587	0	600	2460	790	295	0	0	0	0	0	0	0	352	143	159	154	280	144	157	215	0	0	0	107	142	209	0	0	0	0	0	0	0	0	0
GLMN	245.589744	113	1001	414	203	834	0	902	1166	1402	286	269	0	0	0	200	0	0	514	216	268	232	404	241	262	184	189	0	0	0	0	178	0	0	0	0	0	100	0	0	0
MED11	245.384615	0	0	0	186	777	125	1128	257	2081	335	107	0	0	0	0	0	0	747	342	356	413	764	250	319	386	0	164	0	131	275	272	155	0	0	0	0	0	0	0	0
ITFG2	245.358974	0	136	139	193	828	207	648	560	2196	580	187	0	0	0	237	0	0	667	254	256	252	469	229	339	294	122	96	0	0	129	174	289	0	0	0	0	88	0	0	0
TWISTNB	245.307692	103	144	99	347	1220	273	1285	622	648	216	365	0	0	0	320	0	0	540	301	259	361	371	198	502	227	166	0	0	0	299	311	390	0	0	0	0	0	0	0	0
TM2D1	245.282051	105	167	223	370	415	168	1188	1081	1441	302	170	0	0	0	225	0	0	612	260	305	211	569	296	246	307	0	0	0	0	225	197	483	0	0	0	0	0	0	0	0
ACO1	245.256410	0	278	0	185	865	118	1338	310	784	579	293	0	0	0	162	0	0	525	390	483	464	764	294	390	197	0	174	181	205	181	287	0	0	0	0	0	118	0	0	0
C6orf226	245.230769	115	0	0	484	909	270	1026	1272	1796	173	0	0	0	0	0	0	0	594	395	413	293	441	266	311	220	0	0	0	0	0	193	280	113	0	0	0	0	0	0	0
MCUB	245.205128	0	1717	966	346	168	0	1401	2633	815	480	291	0	0	151	358	0	115	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC39A11	244.948718	0	0	0	223	929	276	1283	324	1230	327	336	0	0	0	245	0	0	777	423	342	407	627	359	359	192	0	0	0	213	283	245	153	0	0	0	0	0	0	0	0
ZFYVE1	244.897436	0	235	309	223	505	90	841	1872	861	0	305	0	0	0	0	0	0	818	241	365	316	657	337	276	260	186	0	0	165	178	349	162	0	0	0	0	0	0	0	0
CARM1	244.846154	0	111	0	0	477	126	1172	0	528	1616	636	0	0	0	151	0	238	705	424	454	478	565	334	363	399	176	97	0	146	210	143	0	0	0	0	0	0	0	0	0
PFN4	244.794872	0	1236	605	202	602	0	899	1133	682	189	427	0	0	0	253	0	222	362	175	284	238	458	276	273	141	110	143	134	102	135	156	0	0	0	0	0	110	0	0	0
CCT5	244.769231	358	718	242	482	624	199	1141	1436	1291	108	372	0	0	181	487	0	0	313	155	263	333	240	0	207	106	0	0	0	0	149	141	0	0	0	0	0	0	0	0	0
ATPSCKMT	244.769231	358	718	242	482	624	199	1141	1436	1291	108	372	0	0	181	487	0	0	313	155	263	333	240	0	207	106	0	0	0	0	149	141	0	0	0	0	0	0	0	0	0
NEK7	244.692308	0	900	497	267	684	114	946	1278	742	140	0	0	0	0	129	0	0	639	261	443	354	347	201	377	303	0	151	0	193	155	192	0	145	0	0	0	85	0	0	0
PABPC1	244.666667	0	463	416	146	1040	130	1170	272	1823	0	446	0	0	194	558	0	0	530	235	238	224	342	153	325	232	88	0	0	117	143	160	0	0	0	0	0	97	0	0	0
BTBD10	244.666667	109	178	0	938	742	231	1646	671	1683	253	214	0	0	0	204	0	0	514	233	297	256	342	279	268	238	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0
PC	244.538462	0	424	283	352	1730	592	1595	701	710	0	0	0	0	0	0	0	0	439	251	342	296	364	185	242	205	0	119	160	145	208	194	0	0	0	0	0	0	0	0	0
SH3GL2	244.512821	154	794	341	217	1143	334	367	0	0	546	0	0	0	0	0	0	0	656	337	468	360	723	323	647	457	148	0	149	206	357	343	267	199	0	0	0	0	0	0	0
CNNM4	244.512821	0	676	398	132	512	91	1679	774	632	274	273	0	0	0	257	0	0	641	335	250	352	597	214	252	293	187	122	0	0	154	281	160	0	0	0	0	0	0	0	0
TRIM24	244.487179	0	734	451	0	852	184	1548	735	753	555	504	0	0	113	381	0	0	709	178	323	147	353	132	228	237	0	0	0	170	0	102	146	0	0	0	0	0	0	0	0
MON1B	244.461538	0	0	253	468	384	142	737	2156	674	441	531	0	0	212	430	0	0	405	213	255	290	306	167	245	177	130	112	0	145	174	242	245	0	0	0	0	0	0	0	0
NSD1	244.358974	0	608	239	0	332	0	698	1549	361	561	380	0	0	0	0	0	0	698	438	474	510	532	265	475	441	0	0	164	251	330	224	0	0	0	0	0	0	0	0	0
COLGALT1	244.333333	0	693	452	563	482	115	659	793	353	515	219	0	0	0	327	0	0	540	254	325	386	445	317	433	264	184	164	134	245	217	255	195	0	0	0	0	0	0	0	0
RUSC1	244.282051	0	865	437	136	792	278	1359	1766	405	247	0	0	0	0	0	0	0	375	318	332	304	443	149	283	230	0	0	195	253	167	193	0	0	0	0	0	0	0	0	0
CHSY1	244.282051	0	674	246	299	738	130	844	985	1213	406	233	0	0	0	0	0	167	474	225	280	229	438	160	275	308	157	129	0	140	175	327	200	0	0	0	0	75	0	0	0
TMBIM6	244.179487	0	161	0	284	596	83	856	811	1811	531	112	0	0	87	284	0	133	541	329	263	334	616	369	302	308	0	0	0	0	227	280	205	0	0	0	0	0	0	0	0
RFX3	244.179487	105	478	306	236	996	126	550	1441	1388	156	209	0	0	0	302	0	0	594	159	228	173	364	284	305	283	80	182	0	106	83	260	129	0	0	0	0	0	0	0	0
TBC1D22A	244.153846	0	0	129	185	1072	238	1019	0	1757	273	544	0	0	0	220	0	0	695	310	269	330	633	260	327	192	109	0	0	136	259	337	228	0	0	0	0	0	0	0	0
RGS20	244.051282	0	126	0	0	1029	180	1449	178	632	0	0	0	0	0	0	0	0	704	241	501	510	557	328	633	334	150	0	282	275	470	553	221	165	0	0	0	0	0	0	0
CLP1	244.025641	0	83	0	493	576	370	1128	353	1249	526	428	0	0	0	285	0	0	600	259	247	285	409	416	430	285	143	104	0	253	160	233	202	0	0	0	0	0	0	0	0
YEATS2	243.974359	0	1400	747	123	743	169	1068	894	530	416	367	0	0	0	0	0	0	686	233	228	207	404	207	215	229	0	106	0	126	122	295	0	0	0	0	0	0	0	0	0
AP2S1	243.974359	0	221	172	182	282	0	663	2131	1499	520	483	0	0	102	533	0	0	498	174	209	258	205	191	215	203	0	0	0	105	107	232	211	0	0	0	0	119	0	0	0
PDCD6	243.923077	173	763	545	127	496	141	1025	1449	1205	580	315	0	0	0	326	0	0	356	222	217	203	272	153	231	202	0	0	0	140	0	221	151	0	0	0	0	0	0	0	0
TTC17	243.820513	0	120	214	225	594	91	990	1316	1735	237	204	0	0	0	241	0	0	536	339	220	222	432	307	356	222	125	130	0	106	0	186	124	152	0	0	0	85	0	0	0
MTARC1	243.743590	0	1874	862	0	717	418	1528	1878	207	0	0	0	0	0	0	0	0	324	153	180	150	273	139	242	249	0	0	0	0	135	108	69	0	0	0	0	0	0	0	0
